geoid,name,B19001001,"B19001001, Error",B19001002,"B19001002, Error",B19001003,"B19001003, Error",B19001004,"B19001004, Error",B19001005,"B19001005, Error",B19001006,"B19001006, Error",B19001007,"B19001007, Error",B19001008,"B19001008, Error",B19001009,"B19001009, Error",B19001010,"B19001010, Error",B19001011,"B19001011, Error",B19001012,"B19001012, Error",B19001013,"B19001013, Error",B19001014,"B19001014, Error",B19001015,"B19001015, Error",B19001016,"B19001016, Error",B19001017,"B19001017, Error"
01000US,United States,119730128,232429,7584305,18464,5507051,15243,5488289,17043,5658672,16600,5558387,15816,5559047,15601,5192595,16659,5276041,16523,4656185,15063,9140757,23730,11769465,34020,14937330,47276,10600942,51888,6932183,35577,7513313,42617,8355566,47620
04000US29,Missouri,2396271,6753,158836,2947,118404,2527,122333,2350,127388,2233,124137,2070,129224,2064,119243,2278,120404,2131,104302,2061,195669,2601,249084,3000,300226,3645,195077,2728,115715,2121,111519,2049,104710,1812
05000US29189,"St. Louis County, MO",403547,1821,19378,1026,12778,899,16898,976,16688,986,17626,822,18793,942,18106,934,17442,923,16898,976,31709,1263,39077,1389,50703,1527,37243,1141,23925,892,28315,1049,37968,886
86000US63005,63005,6376,247,197,126,101,88,67,37,66,52,21,17,111,58,200,104,141,94,64,39,236,92,257,80,506,145,526,128,448,107,960,144,2475,210
86000US63011,63011,14504,380,144,71,155,79,398,138,362,124,278,119,432,128,376,135,515,130,755,200,975,242,1079,204,1884,254,1709,261,1508,254,1664,258,2270,286
86000US63017,63017,16624,348,730,188,260,113,300,104,607,174,442,124,329,121,440,182,520,147,381,138,867,198,1205,200,1748,220,1629,240,1337,226,2148,291,3681,355
86000US63021,63021,21885,349,369,142,314,148,580,197,567,158,699,160,834,201,810,230,824,185,579,144,1814,256,2179,352,2970,394,2424,278,1745,273,2335,322,2842,297
86000US63025,63025,4989,298,77,53,69,45,147,103,69,48,81,55,135,66,123,107,146,96,175,80,268,103,459,153,611,130,734,184,486,152,798,175,611,157
86000US63026,63026,16579,319,526,193,401,130,482,146,576,139,604,163,769,182,681,225,568,137,478,115,1231,237,1657,247,2817,322,1859,257,1465,218,1202,225,1263,199
86000US63031,63031,17544,532,715,195,401,115,684,181,824,209,814,179,937,221,1131,264,838,207,660,168,1717,222,2025,323,2786,330,2012,265,857,172,696,160,447,138
86000US63033,63033,16948,640,826,267,467,183,808,239,945,235,978,260,833,232,1011,268,998,248,757,265,1875,418,1679,400,2519,328,1707,366,692,205,553,213,300,136
86000US63034,63034,6647,281,305,107,87,63,136,77,152,78,183,115,77,53,181,88,76,44,276,147,621,149,575,138,1068,195,1138,248,673,157,676,175,423,150
86000US63038,63038,2484,168,15,24,27,21,40,50,40,53,91,86,17,19,36,28,89,57,37,36,141,75,132,59,193,66,310,85,239,71,399,112,678,102
86000US63040,63040,3040,168,7,12,52,37,34,30,38,27,41,25,102,49,62,35,38,24,112,57,276,90,244,88,327,88,360,109,405,104,458,111,484,88
86000US63042,63042,8823,432,482,179,468,198,220,130,413,143,643,264,761,244,466,190,747,199,375,156,636,176,1191,252,1167,268,675,218,213,126,173,91,193,98
86000US63043,63043,9259,270,231,77,341,155,455,167,299,94,232,83,372,149,424,140,418,135,457,149,748,202,1116,209,1652,283,987,197,492,125,670,158,365,115
86000US63044,63044,3987,230,137,56,131,64,186,77,164,74,199,84,238,95,264,116,119,58,152,73,367,113,410,96,574,133,454,105,241,74,230,78,121,50
86000US63045,63045,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
86000US63049,63049,6534,266,211,85,280,110,179,92,296,137,193,76,297,119,268,106,400,134,150,69,572,163,667,176,1073,206,831,195,489,129,369,116,259,83
86000US63069,63069,5624,302,99,80,288,137,269,114,245,99,331,121,316,138,203,84,226,87,228,87,459,142,541,191,692,136,650,160,370,136,419,148,288,113
86000US63074,63074,6517,427,529,192,343,159,342,141,494,148,342,136,565,193,242,132,349,140,402,174,638,180,952,217,694,161,276,106,211,122,52,40,86,64
86000US63088,63088,3851,235,136,109,111,67,228,112,205,88,97,49,177,82,107,64,192,117,218,101,541,176,393,130,448,123,289,119,191,83,240,96,278,124
86000US63105,63105,6563,270,404,117,154,74,129,82,101,52,292,128,114,60,202,81,120,59,191,74,281,107,610,142,646,161,511,140,377,96,631,141,1800,192
86000US63114,63114,14615,546,1092,232,893,254,834,168,764,188,1127,214,803,174,1109,272,832,147,750,236,1257,258,1676,212,1966,345,812,207,407,140,171,78,122,54
86000US63117,63117,4369,149,272,80,102,60,87,46,258,98,147,70,132,79,89,43,147,71,184,84,384,89,350,106,459,106,490,130,290,69,398,99,580,110
86000US63119,63119,13867,382,478,166,362,127,453,148,396,141,436,149,407,126,353,110,520,146,476,136,1070,222,1243,224,2118,277,1419,229,929,192,1573,275,1634,221
86000US63120,63120,3006,238,494,157,347,121,334,115,342,147,324,135,134,77,122,73,134,91,106,80,205,83,152,75,165,73,98,45,5,9,37,38,7,10
86000US63121,63121,10556,531,1231,283,545,129,856,221,666,208,656,185,859,198,838,195,493,127,685,179,835,191,992,238,1014,160,429,81,233,92,88,28,136,47
86000US63122,63122,15897,316,439,136,379,117,447,116,478,121,345,112,410,122,520,112,552,127,479,121,956,155,1200,179,1777,211,1766,191,1444,200,2056,241,2649,224
86000US63123,63123,22604,373,1055,247,785,234,860,225,1126,233,1223,231,1131,207,1181,275,1342,246,1047,238,2208,299,2285,341,3743,355,2060,253,1023,193,916,170,619,156
86000US63124,63124,4760,258,261,146,83,59,136,153,155,122,131,117,152,96,38,29,28,31,66,58,148,79,344,132,322,121,196,66,288,111,466,171,1946,268
86000US63125,63125,14020,411,709,200,589,199,704,214,692,220,715,204,972,247,838,225,641,194,806,221,1607,314,1847,352,1922,289,950,199,623,186,280,104,125,73
86000US63126,63126,6187,225,125,59,176,79,198,102,175,73,283,87,202,76,306,101,202,106,264,102,424,122,723,170,991,190,744,148,599,142,429,117,346,126
86000US63127,63127,2075,162,87,46,41,31,51,34,127,80,124,62,77,39,85,50,47,39,35,30,129,64,126,50,161,57,191,64,171,74,155,60,468,83
86000US63128,63128,12818,303,228,95,385,167,630,188,362,127,578,154,465,132,645,172,694,174,466,134,982,219,995,204,1862,291,1418,239,1117,219,928,166,1063,175
86000US63129,63129,21990,399,673,186,479,139,766,205,838,180,734,172,993,212,814,214,891,219,887,176,1562,292,2615,322,3026,309,2532,262,1705,277,2075,268,1400,227
86000US63130,63130,12028,528,895,236,463,177,482,181,510,199,391,129,510,169,603,185,494,176,433,144,906,260,927,246,1469,291,872,196,542,167,1070,261,1461,236
86000US63131,63131,6453,274,181,79,34,28,37,34,75,49,117,63,96,50,111,51,168,108,137,69,221,96,305,93,479,120,752,182,465,107,825,134,2450,232
86000US63132,63132,5348,337,263,124,152,97,238,117,106,69,239,97,329,143,299,184,318,153,280,169,497,155,524,166,494,162,423,127,315,108,321,92,550,119
86000US63133,63133,3132,218,797,226,311,112,275,103,338,93,305,93,195,62,111,55,144,68,91,54,211,79,171,63,64,31,34,31,40,30,27,26,18,16
86000US63134,63134,5290,308,355,149,226,100,368,158,499,181,446,139,425,195,351,137,241,101,411,192,597,178,731,194,420,160,145,72,28,30,40,31,7,15
86000US63135,63135,8282,370,708,193,358,122,559,188,515,187,489,137,532,171,414,171,571,145,543,169,578,141,882,212,946,209,555,140,397,130,128,63,107,72
86000US63136,63136,18208,648,1864,306,1461,270,2111,438,1389,282,1322,269,1509,335,1211,262,979,222,937,218,1232,293,1624,335,1388,251,709,218,251,113,156,74,65,49
86000US63137,63137,7129,363,592,179,381,98,619,203,308,102,669,198,599,194,383,145,295,93,428,169,637,185,886,232,692,206,350,129,101,52,50,40,139,105
86000US63138,63138,7122,374,656,212,428,171,523,204,470,179,430,142,628,205,504,153,362,159,380,127,597,178,630,193,508,133,421,156,287,136,154,114,144,76
86000US63140,63140,122,41,30,18,18,13,8,10,13,13,10,10,13,16,7,8,9,12,2,4,1,3,4,4,5,8,2,3,0,11,0,11,0,11
86000US63141,63141,8652,304,161,85,99,63,150,101,210,99,271,120,241,89,250,104,197,93,286,120,519,139,585,170,941,207,834,172,498,124,1061,176,2349,263
86000US63143,63143,4977,224,390,124,259,98,420,150,274,106,324,120,272,103,202,75,304,107,324,119,349,102,385,93,745,166,307,97,98,52,155,72,169,95
86000US63144,63144,4336,177,181,115,78,61,113,63,134,94,65,45,143,65,61,49,130,74,202,120,422,122,518,135,633,181,616,153,308,141,266,87,466,129
86000US63146,63146,14102,364,577,168,395,131,393,143,452,162,693,193,653,156,699,201,603,157,721,170,1066,194,1498,236,1637,260,1583,261,1045,210,1063,183,1024,233
86000US63147,63147,3804,255,740,210,293,97,327,150,244,110,284,150,309,114,191,100,192,72,170,102,382,110,239,84,257,120,130,74,11,16,22,24,13,17
86000US63304,63304,15061,408,362,151,61,48,210,94,236,114,329,103,412,135,364,119,648,176,541,160,887,164,1555,270,2347,239,2054,252,1710,243,1710,225,1635,215
